Track Name,Artist,Density,Multi,Signatures,Syll.
U (JUJU) (feat. Skepta),Skepta,73.1,11.7,45,383
It Ain't Safe,Skepta,49.7,23.7,83,350
Love Me Not,Skepta,55.0,29.7,95,320
Touching My Body,Skepta,84.2,11.6,33,285
No Security,Skepta,63.6,15.8,133,843
"Can You Hear Me? (ayayaya) (feat. Skepta, JME & Ms D)",Skepta,49.7,32.7,50,153
Same Old Story,Skepta,70.0,16.3,137,840
Warm - Remix,Skepta,35.5,37.9,81,214
Same Shit Different Day,Skepta,51.9,26.0,147,565
Smoke In Your Eyes,Skepta,63.6,17.2,53,308
Kiss and Tell,Skepta,69.1,16.0,108,676
Ace Hood Flow,Skepta,53.8,19.8,165,834
All Alone,Skepta,33.8,38.3,77,201
Put That On My Set (feat. A$AP Rocky & Skepta),Skepta,39.6,37.1,73,197
Reflecting,Skepta,61.6,20.3,145,714
Waze,Skepta,31.4,39.6,63,159
Konnichiwa,Skepta,56.2,24.6,134,544
Castles,Skepta,55.8,22.7,115,507
Disguise,Skepta,43.3,22.6,61,270
Mains,Skepta,61.8,17.5,87,497
Bet (feat. Skepta & Michael Phantom),Skepta,36.6,45.5,61,134
Skepta x Fumez The Engineer - Plugged In,Skepta,61.6,21.7,183,844
Too Many Man,Skepta,70.1,18.3,146,799
CANCELLED (feat. Skepta),Skepta,61.7,14.3,84,587
Nirvana,Skepta,55.8,14.6,94,642
Duppy - Jamie Duggan Mix,Skepta,64.7,7.8,434,5590
For You,Skepta,39.9,34.9,98,281
Work Out,J. Cole,76.8,15.1,121,802
Power Trip (feat. Miguel),J. Cole,71.5,14.2,106,747
MIDDLE CHILD,J. Cole,67.2,16.1,141,874
on the street (with J. Cole),J. Cole,55.9,21.9,112,512
"To Summer, From Cole - Audio Hug",J. Cole,59.1,23.0,110,479
Love Yourz,J. Cole,62.3,17.2,123,717
m y . l i f e (with 21 Savage & Morray),J. Cole,63.9,18.9,109,576
All My Life (feat. J. Cole),J. Cole,57.9,20.8,115,554
Kevin’s Heart,J. Cole,70.1,13.9,111,796
All I Want Is You (feat. J. Cole),J. Cole,56.7,29.8,97,326
a m a r i,J. Cole,51.7,21.8,133,611
Pretty Little Fears (feat. J. Cole),J. Cole,52.2,28.7,99,345
Neighbors,J. Cole,60.3,16.7,127,761
Under The Sun (with J. Cole & Lute feat. DaBaby),J. Cole,47.8,30.9,64,207
p r i d e . i s . t h e . d e v i l (with Lil Baby),J. Cole,64.6,15.5,89,574
She Knows (feat. Amber Coffman & Cults),J. Cole,74.7,13.3,90,679
Can't Get Enough,J. Cole,67.7,19.5,122,625
Deja Vu,J. Cole,67.0,12.0,126,1052
Crooked Smile (feat. TLC),J. Cole,71.6,14.9,124,835
In The Morning,J. Cole,59.5,18.2,105,576
Apparently,J. Cole,69.1,17.1,131,767
Nobody's Perfect,J. Cole,48.1,29.8,109,366
Planez,J. Cole,54.6,28.2,92,326
She's Mine Pt. 1,J. Cole,63.7,18.5,76,410
i n t e r l u d e,J. Cole,54.9,24.8,115,463
Adonis Interlude (The Montage) (with J. Cole),J. Cole,43.6,28.7,92,321
"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",J. Cole,29.1,47.7,72,151
She's Mine Pt. 2,J. Cole,68.7,17.5,120,684
p u n c h i n ‘ . t h e . c l o c k,J. Cole,50.9,28.0,125,446
Your Heart,J. Cole,54.2,24.5,91,371
Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba),J. Cole,55.0,26.6,130,489
Change,J. Cole,65.3,13.2,182,1374
l e t . g o . m y . h a n d (with Bas & 6LACK),J. Cole,56.0,21.2,116,546
Shea Butter Baby (with J. Cole),J. Cole,63.6,20.1,79,393
Come Through and Chill (feat. J. Cole & Salaam Remi),J. Cole,58.7,22.5,97,431
Ville Mentality,J. Cole,72.3,16.9,73,433
The London (feat. J. Cole & Travis Scott),J. Cole,44.7,32.2,88,273
Tribe (with J. Cole),J. Cole,70.2,18.2,92,506
Snow On Tha Bluff,J. Cole,59.0,19.1,150,786
Heaven’s EP (with J. Cole),J. Cole,51.2,23.1,158,685
Home Alone (with J. Cole),J. Cole,58.9,13.9,104,749
KOD,J. Cole,67.6,14.0,109,777
