Track Name,Artist,Density,Multi,Signatures,Syll.
Where Them Girls At (feat. Nicki Minaj & Flo Rida),Nicki Minaj,72.6,17.3,77,446
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",Nicki Minaj,66.0,21.9,78,356
Needle (feat. Drake),Nicki Minaj,62.9,17.1,81,475
Va Va Voom,Nicki Minaj,69.6,15.1,94,621
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Nicki Minaj,48.5,27.1,72,266
Moment 4 Life,Nicki Minaj,62.8,18.2,94,516
Beep Beep,Nicki Minaj,44.8,31.7,82,259
Bottoms Up (feat. Nicki Minaj),Nicki Minaj,59.4,18.4,90,490
All Eyes on You (feat. Chris Brown & Nicki Minaj),Nicki Minaj,72.6,16.5,80,486
Monster,Nicki Minaj,43.7,30.7,104,339
Let Me Calm Down (feat. J. Cole),Nicki Minaj,67.2,20.4,77,378
Make Me Proud,Nicki Minaj,40.5,32.0,71,222
Plain Jane REMIX (feat. Nicki Minaj),Nicki Minaj,50.1,23.7,87,367
Woman Like Me (feat. Nicki Minaj),Nicki Minaj,53.8,20.3,62,305
Only,Nicki Minaj,54.2,32.3,81,251
Press Play (feat. Future),Nicki Minaj,57.4,22.8,85,373
Chun-Li,Nicki Minaj,60.3,21.6,119,552
Endless Fashion (feat. Nicki Minaj),Nicki Minaj,50.8,23.3,97,417
Ball For Me (feat. Nicki Minaj),Nicki Minaj,62.1,22.8,62,272
The Night Is Still Young,Nicki Minaj,68.4,15.3,91,594
Last Time I Saw You,Nicki Minaj,67.6,18.9,83,438
FEFE (feat. Nicki Minaj & Murda Beatz),Nicki Minaj,63.9,21.4,84,393
Turn Me On (feat. Nicki Minaj),Nicki Minaj,76.9,12.0,63,524
MotorSport,Nicki Minaj,56.8,26.6,82,308
Alone (with Nicki Minaj),Nicki Minaj,43.4,33.7,59,175
Bed (feat. Ariana Grande),Nicki Minaj,64.6,22.0,71,322
Your Love,Nicki Minaj,71.2,13.1,88,671
The Way Life Goes (feat. Nicki Minaj & Oh Wonder) - Remix,Nicki Minaj,76.2,13.2,101,765
Up All Night,Nicki Minaj,44.2,34.8,81,233
High School,Nicki Minaj,62.6,23.2,90,388
Swish Swish,Nicki Minaj,55.4,27.5,71,258
My Chick Bad,Nicki Minaj,35.9,37.9,58,153
"Runnin (with A$AP Rocky, A$AP Ferg & Nicki Minaj)",Nicki Minaj,38.0,35.5,59,166
Anaconda,Nicki Minaj,68.1,15.1,105,696
Save Me,Nicki Minaj,69.6,16.7,60,359
Pound Town 2 (feat. Nicki Minaj & Tay Keith),Nicki Minaj,50.9,30.5,67,220
Flawless Remix (feat. Nicki Minaj),Nicki Minaj,53.1,25.4,87,343
N.Y. State of Mind,Nas,60.4,18.4,195,1058
If I Ruled the World (Imagine That) (feat. Lauryn Hill),Nas,51.9,21.7,129,595
Road To Zion,Nas,43.8,29.9,84,281
Nas Is Like,Nas,61.9,18.2,167,916
It Ain't Hard to Tell,Nas,46.6,26.8,126,470
Get Down,Nas,53.3,23.7,182,769
The Message,Nas,33.9,41.5,49,118
Purple,Nas,58.0,20.5,171,833
The World Is Yours,Nas,62.5,18.5,175,946
Still Dreaming,Nas,64.4,17.2,117,680
We Major,Nas,46.6,27.7,98,354
I Can,Nas,68.4,14.3,150,1047
Represent,Nas,13.0,56.5,26,46
Like Smoke,Nas,50.8,25.4,140,551
Nas Morales (Metro Boomin & Nas),Nas,51.2,25.6,83,324
Hate Me Now (feat. Diddy),Nas,70.8,16.3,159,978
Life's a Bitch (feat. AZ & Olu Dara),Nas,48.1,33.0,112,339
"Affirmative Action (feat. AZ, Cormega & Foxy Brown)",Nas,32.0,40.5,62,153
On My Soul,Nas,52.7,27.4,65,237
"Living in Pain (feat. 2Pac, Mary J. Blige & Nas)",Nas,46.4,29.1,81,278
Halftime,Nas,61.0,19.6,168,857
Street Dreams,Nas,64.1,14.5,162,1116
Rodeo - feat. Nas,Nas,43.5,25.0,176,703
Made You Look,Nas,58.8,22.4,155,692
"One Mic, One Gun",Nas,59.6,22.5,88,391
Spicy (feat. Fivio Foreign & A$AP Ferg),Nas,54.1,25.5,80,314
Nobody (feat. Ms. Lauryn Hill),Nas,54.3,23.6,134,569
Ether,Nas,65.9,16.7,198,1185
Never Die (feat. Lil Wayne),Nas,58.2,26.2,101,385
27 Summers,Nas,49.7,28.3,85,300
Eye for a Eye (Your Beef Is Mines) (feat. Nas & Raekwon),Nas,45.3,32.4,83,256
I'm Gonna Be Alright (feat. Nas),Nas,79.0,11.0,88,799
Got Ur Self A Gun,Nas,65.1,16.0,161,1006
10k Hours (feat. Nas),Nas,52.0,27.3,75,275
I Love This Feeling,Nas,61.7,17.5,146,833
Wave Gods,Nas,64.5,19.5,92,471
Cherry Wine,Nas,57.9,22.3,120,539
I Gave You Power,Nas,65.5,17.6,179,1015
Fever,Nas,50.6,22.8,122,534
Thank God I Found You (feat. Joe & Nas) - Make It Last Remix Edit,Nas,59.5,20.9,93,444
EPMD 2 (feat. Eminem & EPMD),Nas,51.4,24.9,107,430
Take It In Blood,Nas,58.7,17.5,211,1207
We Are,Nas,37.5,40.0,64,160
Grand Finale,Nas,46.2,31.6,101,320
Sitting With My Thoughts,Nas,10.7,75.0,21,28
You Owe Me (feat. Ginuwine),Nas,72.0,15.0,117,778
Michael & Quincy,Nas,53.1,20.9,153,733
Office Hours (feat. 50 Cent),Nas,58.4,19.5,146,747
"John Blaze (feat. Nas, Big Punisher, Jadakiss & Raekwon)",Nas,36.7,34.3,71,207
Like That,Future,65.5,16.0,110,686
Cinderella,Future,60.7,18.2,70,384
Too Many Nights (feat. Don Toliver & with Future),Future,38.4,36.4,36,99
TELEKINESIS (feat. SZA & Future),Future,58.0,17.2,128,746
Love Me,Future,83.1,6.9,32,462
Type Shit,Future,69.5,16.4,109,663
Superhero (Heroes & Villains) [with Future & Chris Brown],Future,61.0,17.7,104,589
Solo,Future,73.2,13.9,82,590
Young Metro,Future,64.0,16.5,127,770
End Game,Future,70.0,12.5,68,543
Everyday,Future,63.4,9.5,60,634
I Can't Save You (Interlude) [with Future & feat. Don Toliver],Future,73.6,17.7,39,220
We Don't Trust You,Future,63.7,16.1,112,697
Mask Off,Future,61.7,14.9,102,684
Low Life (feat. The Weeknd),Future,68.0,12.7,131,1031
PUFFIN ON ZOOTIEZ,Future,69.5,13.1,122,930
Ice Attack,Future,63.9,14.5,112,770
Private Landing (feat. Justin Bieber & Future),Future,42.4,31.6,73,231
The Percocet & Stripper Joint,Future,55.5,21.6,97,449
LOVE YOU BETTER,Future,71.3,15.8,48,303
Slimed In,Future,66.9,18.7,119,637
Double Fantasy (with Future),Future,49.0,28.3,71,251
Loveeeeeee Song,Future,67.9,16.4,45,274
U Are My High (with Future),Future,71.4,12.3,62,504
Cold (feat. Future),Future,62.1,25.6,77,301
ARABI,Future,37.1,36.3,45,124
Flex Up (feat. Future & Playboi Carti),Future,65.9,19.5,75,384
Stand On It (with Future),Future,63.7,20.2,92,455
Life Is Good (feat. Drake),Future,60.3,16.1,107,665
KAPITOL DENIM,Future,50.9,17.4,51,293
Fine China,Future,50.0,31.2,45,144
pushin P (feat. Young Thug),Future,58.8,18.5,79,427
Married To The Game,Future,55.2,24.6,94,382
Turn On The Lights again.. (feat. Future & Fred again..) - Anyma Remix,Future,72.2,5.8,21,360
